name,bgPrimary,bgSecondary,textPrimary,borderPrimary,tableBgPrimary,tableBgSecondary,tableTextPrimary,tableBorderPrimary,bgHover,textHover
control,#1f2605,#1f6521,#d6ce15,#1f2605,#53900F,#a4a71e,#1f2605,#1f2605,#d6ce15,#1f2605
fly50,#687864,#31708e,white,#687864,#8fc1e3,#687864,#5085a5,#687864,#f7f9fb,white
love_apart,#806543,#33266e,white,#806543,#111111,#111111,goldenrod,#806543,#a6607c,white
time_likes,#5680e9,#84ceeb,navyblue,navyblue,#5680e9,#84ceeb,navyblue,#5680e9,#8860d0,antiquewhite
fay,#5d5c61,#379683,orange,#5d5c61,#5d5c61,#379683,white,#379683,#5d5c61,orange
futuramo,#501f3a,#cb2d6f,white,#501f3a,#14a098,#cccccc,#501f3a,#cccccc,#501f3a,white
lowflo,#d79922,#efe2ba,yellow,#d79922,#4056a1,#efe2ba,yellow,#4056a1,#c5cbe3,#d79922
armchair,#eae7dc,#d8c3a5,#8e8d8a,#eae7dc,#e98074,#d8c3a5,#8e8d8a,#e98074,#e85a4f,#eae7dc
fireworks,#272727,#747474,#ff652f,#272727,#ffe400,#747474,#ff652f,#ffe400,#14a76c,#272727
qed,#026670,#fce181,#fef9c7,#026670,#9fedd7,#fce181,indianred,#9fedd7,#edeae5,#026670,
